participant_no,week no,url,query,data,type,task,goal,source,content,format
102,Week 2,https://www.google.com/search?q=what should I put in my smoothies,what should I put in my smoothies,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=what should I put in my smoothies,what should I put in my smoothies,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=what should I put in my smoothies,what should I put in my smoothies,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=best foods for bloating,best foods for bloating,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=best foods for bloating in morning,best foods for bloating in morning,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=best foods for bloating in morning,best foods for bloating in morning,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=best workouts at the gym to lose weight,best workouts at the gym to lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=best workouts at the gym to lose weight,best workouts at the gym to lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=is the stairmaster a good workout,is the stairmaster a good workout,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=is the stairmaster a good workout,is the stairmaster a good workout,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=is the stairmaster a good workout,is the stairmaster a good workout,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=does cleaning your house burn calories,does cleaning your house burn calories,Q,outcome,learn,decision making,,,
102,Week 2,https://www.google.com/search?q=does cleaning your house burn calories,does cleaning your house burn calories,Q,outcome,learn,decision making,,,
102,Week 2,https://www.google.com/search?q=how long should i walk to lose weight,how long should i walk to lose weight,Q,outcome,logistics,plan,,,
102,Week 2,https://www.google.com/search?q=does shopping count as exercise,does shopping count as exercise,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=does shopping count as exercise,does shopping count as exercise,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=does the weather make you burn more calories on a walk,does the weather make you burn more calories on a walk,Q,outcome,learn,decision making,,,
102,Week 2,https://www.google.com/search?q=does the weather make you burn more calories on a walk,does the weather make you burn more calories on a walk,Q,outcome,learn,decision making,,,
102,Week 2,https://www.google.com/search?q=how many times should i go to the gym,how many times should i go to the gym,Q,normative,logistics,plan,,,
102,Week 2,https://www.google.com/search?q=20 min session on stairmaster,20 min session on stairmaster,Q,ideas/options,perform,action,,,
102,Week 2,https://www.google.com/search?q=20 min session on stairmaster,20 min session on stairmaster,Q,ideas/options,perform,action,,,
102,Week 2,https://www.google.com/search?q=at home stairmaster,at home stairmaster,Q,utility,logistics,action,,,
102,Week 2,https://www.google.com/search?q=at home workouts to lose belly fat,at home workouts to lose belly fat,Q,ideas/options,option seeking,action,,,
102,Week 2,https://www.google.com/search?q=how long to jump rope for weight loss,how long to jump rope for weight loss,Q,outcome,logistics,plan,,,
102,Week 2,https://www.google.com/search?q=how long to jump rope for weight loss,how long to jump rope for weight loss,Q,outcome,logistics,plan,,,
102,Week 2,https://www.google.com/search?q=how many carbs a day to lose weight,how many carbs a day to lose weight,Q,outcome,logistics,plan,,,
102,Week 2,https://www.google.com/search?q=cardio dance workout,cardio dance workout,Q,ideas/options,perform,action,,,
102,Week 2,https://www.google.com/search?q=cardio dance workout chappel roan,cardio dance workout chappel roan,Q,ideas/options,perform,action,,,
102,Week 2,https://www.google.com/search?q=how effective is zumba for weight loss,how effective is zumba for weight loss,Q,outcome,evaluate,motivational reasoning,,,
102,Week 2,https://www.google.com/search?q=how effective is zumba for weight loss,how effective is zumba for weight loss,Q,outcome,evaluate,motivational reasoning,,,
102,Week 2,https://www.google.com/search?q=what happens when you don't eat enough when working out,what happens when you don't eat enough when working out,Q,factual,learn,plan,,,
102,Week 2,https://www.google.com/search?q=what happens your bodywhen you don't eat enough when working out,what happens your bodywhen you don't eat enough when working out,Q,factual,learn,plan,,,
102,Week 2,https://www.google.com/search?q=will you burn fat if your heart rate is too high,will you burn fat if your heart rate is too high,Q,outcome,learn,plan,,,
102,Week 2,https://www.google.com/search?q=how many calories do you lose in a day,how many calories do you lose in a day,Q,factual,learn,plan,,,
102,Week 2,https://www.google.com/search?q=how many calories do you lose in a day normally,how many calories do you lose in a day normally,Q,factual,learn,plan,,,
102,Week 2,https://www.google.com/search?q=how many calories do you lose in a day normally,how many calories do you lose in a day normally,Q,factual,learn,plan,,,
102,Week 2,https://www.google.com/search?q=how good is tofu after workout,how good is tofu after workout,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=how good is tofu after workout,how good is tofu after workout,Q,normative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=signs of thyroid issues,signs of thyroid issues,Q,factual,learn,na,,,
102,Week 2,https://www.google.com/search?q=signs of thyroid issues,signs of thyroid issues,Q,factual,learn,na,,,
102,Week 2,https://www.google.com/search?q=should i eat dinner before or after workout,should i eat dinner before or after workout,Q,comparative,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=vinyasa yoga,vinyasa yoga,Q,factual,option seeking,action,,,
102,Week 2,https://www.google.com/search?q=vinyasa yoga calories burned,vinyasa yoga calories burned,Q,factual,logistics,plan,,,
102,Week 2,https://www.google.com/search?q=is yoga good to do at night,is yoga good to do at night,Q,normative,evaluate,plan,,,
102,Week 2,https://www.google.com/search?q=whats goo to eat before a yoga class,whats goo to eat before a yoga class,Q,ideas/options,option seeking,decision making,,,
102,Week 2,https://www.google.com/search?q=can you exercise after a vaccine,can you exercise after a vaccine,Q,factual,evaluate,decision making,,,
102,Week 2,https://www.google.com/search?q=how to force myself to drink more water,how to force myself to drink more water,Q,how-to (psyc),barrier,action,,,
102,Week 2,https://www.google.com/search?q=how benefical is lemon water,how benefical is lemon water,Q,mechanism,learn,plan,,,
102,Week 2,https://www.google.com/search?q=how benefical is lemon water,how benefical is lemon water,Q,mechanism,learn,plan,,,
102,Week 2,https://www.google.com/search?q=how benefical is lemon water lemon juice,how benefical is lemon water lemon juice,Q,mechanism,learn,plan,,,
102,Week 2,https://www.google.com/search?q=active.illinois,active.illinois,Q,utility,logistics,action,,,
102,Week 2,"https://www.google.com/search?q=whats more effective, zumba or hiit","whats more effective, zumba or hiit",Q,comparative,evaluate,decision making,,,
102,Week 2,"https://www.google.com/search?q=whats more effective, zumba or hiit","whats more effective, zumba or hiit",Q,comparative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=is drinking matcha everyday good for you,is drinking matcha everyday good for you,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=foods that boost testosterone,foods that boost testosterone,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=foods that boost your metabolism,foods that boost your metabolism,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=foods that boost your metabolic rate,foods that boost your metabolic rate,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=what to do before a hiit workout,what to do before a hiit workout,Q,ideas/options,perform,decision making,,,
102,Week 3,https://www.google.com/search?q=post hiit workout meal,post hiit workout meal,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=does smokig wees impact weight loss,does smokig wees impact weight loss,Q,outcome,evaluate,plan,,,
102,Week 3,https://www.google.com/search?q=does smokig wees impact weight loss,does smokig wees impact weight loss,Q,outcome,evaluate,plan,,,
102,Week 3,https://www.google.com/search?q=subtle ways to lose weight,subtle ways to lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=subtle ways to lose weight,subtle ways to lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=how much protein is in falafel,how much protein is in falafel,Q,factual,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=what time of day should you take probiotics,what time of day should you take probiotics,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what time of day should you take probiotics,what time of day should you take probiotics,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what should i do before a vasectomy,what should i do before a vasectomy,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what should i do before a vaccine,what should i do before a vaccine,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what should i do before a hpv vaccine,what should i do before a hpv vaccine,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what should i do before a hpv vaccine,what should i do before a hpv vaccine,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=hpv vaccine and exercise,hpv vaccine and exercise,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=bodycombat les mills,bodycombat les mills,Q,utility,perform,plan,,,
102,Week 3,https://www.google.com/search?q=how many calories do you lose working on your feet for 4 hours,how many calories do you lose working on your feet for 4 hours,Q,outcome,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=how many calories do you lose weight being a barista,how many calories do you lose weight being a barista,Q,outcome,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=how many calories do you lose weight being a barista,how many calories do you lose weight being a barista,Q,outcome,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=how many calories do you burn cleaning,how many calories do you burn cleaning,Q,outcome,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=how many calories do you burn running errands,how many calories do you burn running errands,Q,outcome,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=how many calories do you burn running errands,how many calories do you burn running errands,Q,outcome,logistics,plan,,,
102,Week 3,https://www.google.com/search?q=dinner meals,dinner meals,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=dinner meal ideas,dinner meal ideas,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=dinner meal ideas to get your veggies in,dinner meal ideas to get your veggies in,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=when is the best time to eat protein,when is the best time to eat protein,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=when is the best time to eat protein,when is the best time to eat protein,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=should you eat even if you're not hungry,should you eat even if you're not hungry,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=should you eat even if you're not hungry,should you eat even if you're not hungry,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=should you eat even if you're not hungry weight loss,should you eat even if you're not hungry weight loss,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=how intense is bodyattack,how intense is bodyattack,Q,experiential,learn,decision making,,,
102,Week 3,https://www.google.com/search?q=how good is rock climbing for you,how good is rock climbing for you,Q,mechanism,learn,decision making,,,
102,Week 3,https://www.google.com/search?q=open climb arc uiuc,open climb arc uiuc,Q,utility,perform,action,,,
102,Week 3,https://www.google.com/search?q=is hummus good for you after working out,is hummus good for you after working out,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=should you still eat protein on cardio days,should you still eat protein on cardio days,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=should you still eat protein on cardio days,should you still eat protein on cardio days,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=should you still eat protein on cardio days,should you still eat protein on cardio days,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=what is kefir,what is kefir,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what is kefir,what is kefir,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what is water kefir,what is water kefir,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=what is water kefir,what is water kefir,Q,factual,learn,plan,,,
102,Week 3,https://www.google.com/search?q=best things to do after zumba,best things to do after zumba,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=best things to do after zumba,best things to do after zumba,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=veggie plate after working out,veggie plate after working out,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=veggie plate after working out,veggie plate after working out,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=is pineapple good for you,is pineapple good for you,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=healthy chorizo recipes,healthy chorizo recipes,Q,ideas/options,option seeking,plan,,,
102,Week 3,https://www.google.com/search?q=benefits of a 4o min walk,benefits of a 4o min walk,Q,outcome,learn,motivational reasoning,,,
102,Week 3,https://www.google.com/search?q=benefits of a 4o min walk,benefits of a 4o min walk,Q,outcome,learn,motivational reasoning,,,
102,Week 3,https://www.google.com/search?q=does having anxiety make you neurodivergent,does having anxiety make you neurodivergent,Q,factual,learn,motivational reasoning,,,
102,Week 3,https://www.google.com/search?q=does having anxiety make you lose weight,does having anxiety make you lose weight,Q,factual,learn,motivational reasoning,,,
102,Week 3,https://www.google.com/search?q=does having anxiety make you lose weight,does having anxiety make you lose weight,Q,factual,learn,motivational reasoning,,,
102,Week 3,https://www.google.com/search?q=how many rest days should you take,how many rest days should you take,Q,normative,learn,plan,,,
102,Week 3,https://www.google.com/search?q=is egg and veggie omelette healthy,is egg and veggie omelette healthy,Q,factual,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=coconut oil versus olive oil,coconut oil versus olive oil,Q,comparative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=coconut oil versus olive oil,coconut oil versus olive oil,Q,comparative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=body attack les mills,body attack les mills,Q,utility,perform,action,,,
102,Week 3,https://www.google.com/search?q=body attack les mills,body attack les mills,Q,utility,perform,action,,,
102,Week 3,https://www.google.com/search?q=body attack les mills,body attack les mills,Q,utility,perform,action,,,
102,Week 3,https://www.google.com/search?q=body attack les mills,body attack les mills,Q,utility,perform,action,,,
102,Week 3,https://www.google.com/search?q=body attack les mills,body attack les mills,Q,utility,perform,action,,,
102,Week 3,https://www.google.com/search?q=is body attack a good workout,is body attack a good workout,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=is body attack a good workout,is body attack a good workout,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=is body attack a good workout,is body attack a good workout,Q,normative,evaluate,decision making,,,
102,Week 3,https://www.google.com/search?q=microsoft copilot,microsoft copilot,Q,utility,perform,na,,,
102,Week 4,https://www.google.com/search?q=why are you sore two days after a workout,why are you sore two days after a workout,Q,mechanism,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=when should i be concerned if im too sore,when should i be concerned if im too sore,Q,mechanism,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=does fibromyalgia worsen soreness,does fibromyalgia worsen soreness,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=when is onset of fibromyalgia,when is onset of fibromyalgia,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=when is onset of fibromyalgia,when is onset of fibromyalgia,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=when is onset of fibromyalgia,when is onset of fibromyalgia,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=how do you test for fibromuscular dysplasia,how do you test for fibromuscular dysplasia,Q,how-to (procedural),learn,plan,,,
102,Week 4,https://www.google.com/search?q=what is fibromuscular dysplasia,what is fibromuscular dysplasia,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=how do you test for fibromuscular dysplasia,how do you test for fibromuscular dysplasia,Q,how-to (procedural),learn,plan,,,
102,Week 4,https://www.google.com/search?q=how do you test for fibromyalgia,how do you test for fibromyalgia,Q,how-to (procedural),learn,plan,,,
102,Week 4,https://www.google.com/search?q=firbromyalgia and weed,firbromyalgia and weed,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=best things to eat before a workout,best things to eat before a workout,Q,ideas/options,option seeking,plan,,,
102,Week 4,https://www.google.com/search?q=best things to eat before a workout,best things to eat before a workout,Q,ideas/options,option seeking,plan,,,
102,Week 4,https://www.google.com/search?q=when you lose weight does your metabolism speed up,when you lose weight does your metabolism speed up,Q,outcome,learn,plan,,,
102,Week 4,https://www.google.com/search?q=when you lose weight does your metabolism speed up,when you lose weight does your metabolism speed up,Q,outcome,learn,plan,,,
102,Week 4,https://www.google.com/search?q=when to drink water when working out,when to drink water when working out,Q,normative,learn,decision making,,,
102,Week 4,https://www.google.com/search?q=menstrual cycle and working out,menstrual cycle and working out,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=are hormones lower at beginning of menstrual cycle,are hormones lower at beginning of menstrual cycle,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=menstrual cycle and working out,menstrual cycle and working out,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=what muscle connects the armpti to chest,what muscle connects the armpti to chest,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=common pushup mistakes,common pushup mistakes,Q,experiential,learn,action,,,
102,Week 4,https://www.google.com/search?q=common push up injuries,common push up injuries,Q,experiential,learn,action,,,
102,Week 4,https://www.google.com/search?q=common zumba injuries,common zumba injuries,Q,experiential,learn,action,,,
102,Week 4,https://www.google.com/search?q=common zumba injuries chest,common zumba injuries chest,Q,experiential,learn,action,,,
102,Week 4,https://www.google.com/search?q=common zumba injuries chest,common zumba injuries chest,Q,experiential,learn,action,,,
102,Week 4,https://www.google.com/search?q=charlotte stingray give birth,charlotte stingray give birth,Q,na,na,na,,,
102,Week 4,https://www.google.com/search?q=elevated AST blood rest,elevated AST blood rest,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=elevated AST blood rest,elevated AST blood rest,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=acute hepatitis panel,acute hepatitis panel,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=mymckinley login,mymckinley login,Q,utility,logistics,action,,,
102,Week 4,https://www.google.com/search?q=rdw blood test,rdw blood test,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=rdw blood test high,rdw blood test high,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=37 ast level,37 ast level,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=what medications cause high liver enzymes,what medications cause high liver enzymes,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=what medications cause high liver enzymes,what medications cause high liver enzymes,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=what medications cause high ast,what medications cause high ast,Q,factual,learn,plan,,,
102,Week 4,https://www.google.com/search?q=high ast pediatric,high ast pediatric,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=high ast period,high ast period,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=can you get hiccups from exercising,can you get hiccups from exercising,Q,factual,learn,motivational reasoning,,,
102,Week 4,https://www.google.com/search?q=easiest way to get rid of hiccups,easiest way to get rid of hiccups,Q,ideas/options,option seeking,action,,,
102,Week 4,https://www.google.com/search?q=why do you bruise after blood work,why do you bruise after blood work,Q,mechanism,learn,plan,,,
102,Week 4,https://www.google.com/search?q=is it okay to take ibuprofen after drinking,is it okay to take ibuprofen after drinking,Q,factual,learn,decision making,,,
102,Week 4,https://www.google.com/search?q=is it okay to take ibuprofen after a blood draw,is it okay to take ibuprofen after a blood draw,Q,factual,learn,decision making,,,
102,Week 4,https://www.google.com/search?q=what happens if i take ibuprofen after a blood draw,what happens if i take ibuprofen after a blood draw,Q,outcome,learn,decision making,,,
102,Week 4,https://www.google.com/search?q=things to eat when your stomach is upset,things to eat when your stomach is upset,Q,ideas/options,option seeking,decision making,,,
102,Week 4,https://www.google.com/search?q=does your stomach get upset when you dont eat after exercising,does your stomach get upset when you dont eat after exercising,Q,outcome,learn,plan,,,
102,Week 4,https://www.google.com/search?q=youtube,youtube,Q,utility,perform,action,,,
102,Week 4,https://www.google.com/search?q=bodycombat les mills,bodycombat les mills,Q,utility,perform,plan,,,
102,Week 4,https://www.google.com/search?q=bodycombat les mills,bodycombat les mills,Q,utility,perform,plan,,,
102,Week 4,https://www.google.com/search?q=les mills body combat beginner,les mills body combat beginner,Q,utility,perform,action,,,
103,Week 1,https://www.google.com/search?q=balanced nutrition for adults in college,balanced nutrition for adults in college,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=balanced nutrition for adults in college,balanced nutrition for adults in college,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=balanced nutrition for adults in college,balanced nutrition for adults in college,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=balanced nutrition for adults in college,balanced nutrition for adults in college,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=balanced nutrition for adults in college,balanced nutrition for adults in college,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=easy meals to make in college,easy meals to make in college,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=what are the best non meat sources of protein,what are the best non meat sources of protein,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=spirulina,spirulina,Q,factual,learn,plan,,,
103,Week 1,https://www.google.com/search?q=spiruline,spiruline,Q,factual,learn,plan,,,
103,Week 1,https://www.google.com/search?q=mycoprotein,mycoprotein,Q,factual,learn,plan,,,
103,Week 1,https://www.google.com/search?q=mycoprotein,mycoprotein,Q,factual,learn,plan,,,
103,Week 1,https://www.google.com/search?q=what are the best non meat sources of protein,what are the best non meat sources of protein,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=what are the best non meat sources of protein,what are the best non meat sources of protein,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=vegetarian protein recipes,vegetarian protein recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=vegetarian protein recipes,vegetarian protein recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=vegetarian protein recipes,vegetarian protein recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=vegetarian recipes,vegetarian recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=college dinner recipes,college dinner recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=college dinner recipes,college dinner recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=college lunch recipes,college lunch recipes,Q,ideas/options,option seeking,plan,,,
103,Week 1,https://www.google.com/search?q=college lunch recipes,college lunch recipes,Q,ideas/options,option seeking,plan,,,
103,Week 2,https://www.google.com/search?q=recipes with more vegetables,recipes with more vegetables,Q,ideas/options,option seeking,plan,,,
103,Week 3,https://www.google.com/search?q=meal prep for whole day,meal prep for whole day,Q,ideas/options,option seeking,plan,,,
103,Week 3,https://www.google.com/search?q=meal prep for whole day,meal prep for whole day,Q,ideas/options,option seeking,plan,,,
103,Week 3,https://www.google.com/search?q=how to meal prep for the week,how to meal prep for the week,Q,how-to (procedural),learn,plan,,,
103,Week 3,https://www.google.com/search?q=how to meal prep for the week,how to meal prep for the week,Q,how-to (procedural),learn,plan,,,
103,Week 3,https://www.google.com/search?q=how to meal prep for the week,how to meal prep for the week,Q,how-to (procedural),learn,plan,,,
103,Week 3,https://www.google.com/search?q=how to meal prep for the week,how to meal prep for the week,Q,how-to (procedural),learn,plan,,,
103,Week 3,https://www.google.com/search?q=protein based meals,protein based meals,Q,ideas/options,option seeking,plan,,,
103,Week 3,https://www.bbcgoodfood.com/search?q=High-protein recipes,High-protein recipes,Q,ideas/options,option seeking,plan,,,
103,Week 3,https://www.google.com/search?q=protein based meals,protein based meals,Q,ideas/options,option seeking,plan,,,
103,Week 3,https://www.google.com/search?q=protein based meals,protein based meals,Q,ideas/options,option seeking,plan,,,
103,Week 4,https://www.google.com/search?q=middle eastern jewish food,middle eastern jewish food,Q,ideas/options,option seeking,plan,,,
